,avgrating,features,link,name,price,rating
17,4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-8a-dual-sea-blue-32-gb/p/itmf5568beb3c3a5?pid=MOBFP764TNKZRSB8&lid=LSTMOBFP764TNKZRSB8P4YTOY&marketplace=FLIPKART&srno=s_1_18&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFP764TNKZRSB8.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8A Dual (Sea Blue, 32 GB)","₹7,200",43 Ratings & 2 Reviews
18,4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-8a-dual-midnight-grey-32-gb/p/itmf5568beb3c3a5?pid=MOBFP7655HZQ6ZKD&lid=LSTMOBFP7655HZQ6ZKDDSTRKD&marketplace=FLIPKART&srno=s_1_19&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFP7655HZQ6ZKD.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8A Dual (Midnight Grey, 32 GB)","₹7,470",43 Ratings & 2 Reviews
19,4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-8a-dual-sky-white-32-gb/p/itmf5568beb3c3a5?pid=MOBFP7FMS6GNPQFY&lid=LSTMOBFP7FMS6GNPQFY01HT9P&marketplace=FLIPKART&srno=s_1_20&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFP7FMS6GNPQFY.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8A Dual (Sky White, 32 GB)","₹7,450",178 Ratings & 15 Reviews
20,4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-8a-dual-midnight-grey-32-gb/p/itmf5568beb3c3a5?pid=MOBFP7YHGWCPXUDH&lid=LSTMOBFP7YHGWCPXUDHCVTNRN&marketplace=FLIPKART&srno=s_1_21&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFP7YHGWCPXUDH.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8A Dual (Midnight Grey, 32 GB)","₹7,790",178 Ratings & 15 Reviews
21,4.5,"6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-note-8-pro-electric-blue-64-gb/p/itm3dc87f8221660?pid=MOBFNF3T9ZXGBZZU&lid=LSTMOBFNF3T9ZXGBZZUWFE19R&marketplace=FLIPKART&srno=s_1_22&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFNF3T9ZXGBZZU.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi Note 8 Pro (Electric Blue, 64 GB)","₹14,949",472 Ratings & 37 Reviews
22,4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-8a-sunset-red-32-gb/p/itm5474ed67d23bf?pid=MOBFKF98FTTEN832&lid=LSTMOBFKF98FTTEN832NKEHTF&marketplace=FLIPKART&srno=s_1_23&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFKF98FTTEN832.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8A (Sunset Red, 32 GB)","₹6,999","1,19,837 Ratings & 9,174 Reviews"
23,4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",/redmi-8a-dual-sea-blue-32-gb/p/itmf5568beb3c3a5?pid=MOBFP73ZM26XEYZQ&lid=LSTMOBFP73ZM26XEYZQWEGDEF&marketplace=FLIPKART&srno=s_1_24&otracker=search&fm=organic&iid=a4b1f51f-1f28-48dc-ae79-1a80c2b23e53.MOBFP73ZM26XEYZQ.SEARCH&ssid=4ivpwp29g00000001587801470619&qH=8493b7b813dbef9d,"Redmi 8A Dual (Sea Blue, 32 GB)","₹7,690",178 Ratings & 15 Reviews
24,4.5,"6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,1 Year Warranty on Phone, 6 Months Warranty on Accessories",/redmi-note-8-pro-halo-white-64-gb/p/itm4da816cb9b194?pid=MOBFHHRRUJSYKJGQ&lid=LSTMOBFHHRRUJSYKJGQHOIWMS&marketplace=FLIPKART&srno=s_2_25&otracker=search&fm=organic&iid=c69423a2-0dde-4e60-b343-2da183bb14c1.MOBFHHRRUJSYKJGQ.SEARCH&ssid=lcubhr39hc0000001587801472284&qH=8493b7b813dbef9d,"Redmi Note 8 Pro (Halo White, 64 GB)","₹14,597","16,068 Ratings & 1,281 Reviews"
25,4.5,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,Splash Proof - Protected by P2i,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-note-7-pro-neptune-blue-128-gb/p/itmffdudreuhph5y?pid=MOBFDXZ3Z8WBPDWK&lid=LSTMOBFDXZ3Z8WBPDWK5GPOXF&marketplace=FLIPKART&srno=s_2_26&otracker=search&fm=organic&iid=c69423a2-0dde-4e60-b343-2da183bb14c1.MOBFDXZ3Z8WBPDWK.SEARCH&ssid=lcubhr39hc0000001587801472284&qH=8493b7b813dbef9d,"Redmi Note 7 Pro (Neptune Blue, 128 GB)","₹13,999","2,54,536 Ratings & 21,645 Reviews"
26,4.5,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,Splash Proof - Protected by P2i,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/redmi-note-7-pro-neptune-blue-64-gb/p/itmfhvueapyyqn2d?pid=MOBFHUQ4WFPBGHPK&lid=LSTMOBFHUQ4WFPBGHPK6AU3AO&marketplace=FLIPKART&srno=s_2_27&otracker=search&fm=organic&iid=c69423a2-0dde-4e60-b343-2da183bb14c1.MOBFHUQ4WFPBGHPK.SEARCH&ssid=lcubhr39hc0000001587801472284&qH=8493b7b813dbef9d,"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹12,999","2,54,536 Ratings & 21,645 Reviews"
