,avgrating,features,link,name,price,rating
14,4.4,"4 GB RAM | 128 GB ROM |,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 (2 GHz) Processor,Sunrise Design,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-5i-aqua-blue-128-gb/p/itmdac0da867a9fa?pid=MOBFP6W584RNB3HH&lid=LSTMOBFP6W584RNB3HHZNLRJ5&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=d030f16b-d98c-4c44-a562-9427154b35a4.MOBFP6W584RNB3HH.SEARCH&ssid=lf5hc3rhcg0000001587809535111&qH=ba2b1763f76b622e,"Realme 5i (Aqua Blue, 128 GB)","₹10,999","1,38,043 Ratings & 10,826 Reviews"
15,4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-c2-diamond-blue-32-gb/p/itmfgwba8kmejqpe?pid=MOBFHBZ4ZQB3CTZW&lid=LSTMOBFHBZ4ZQB3CTZWUFZDQI&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=d030f16b-d98c-4c44-a562-9427154b35a4.MOBFHBZ4ZQB3CTZW.SEARCH&ssid=lf5hc3rhcg0000001587809535111&qH=ba2b1763f76b622e,"Realme C2 (Diamond Blue, 32 GB)","₹6,499","7,31,532 Ratings & 63,063 Reviews"
16,4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-c2-diamond-black-32-gb/p/itmfgwba8kmejqpe?pid=MOBFFMG35CZCFEFF&lid=LSTMOBFFMG35CZCFEFFSB3UZP&marketplace=FLIPKART&srno=s_1_17&otracker=search&fm=organic&iid=d030f16b-d98c-4c44-a562-9427154b35a4.MOBFFMG35CZCFEFF.SEARCH&ssid=lf5hc3rhcg0000001587809535111&qH=ba2b1763f76b622e,"Realme C2 (Diamond Black, 32 GB)","₹7,499","1,11,471 Ratings & 8,962 Reviews"
17,4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-c2-diamond-black-32-gb/p/itmfgwba8kmejqpe?pid=MOBFHBZ4MDMCNHNK&lid=LSTMOBFHBZ4MDMCNHNKOFORJ3&marketplace=FLIPKART&srno=s_1_18&otracker=search&fm=organic&iid=d030f16b-d98c-4c44-a562-9427154b35a4.MOBFHBZ4MDMCNHNK.SEARCH&ssid=lf5hc3rhcg0000001587809535111&qH=ba2b1763f76b622e,"Realme C2 (Diamond Black, 32 GB)","₹6,499","7,31,532 Ratings & 63,063 Reviews"
18,4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-c2-diamond-ruby-32-gb/p/itmfgwba8kmejqpe?pid=MOBFKK9JCA4W3E9S&lid=LSTMOBFKK9JCA4W3E9SMT95W2&marketplace=FLIPKART&srno=s_1_19&otracker=search&fm=organic&iid=d030f16b-d98c-4c44-a562-9427154b35a4.MOBFKK9JCA4W3E9S.SEARCH&ssid=lf5hc3rhcg0000001587809535111&qH=ba2b1763f76b622e,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499","1,11,471 Ratings & 8,962 Reviews"
19,4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-c2-diamond-sapphire-32-gb/p/itmfgwba8kmejqpe?pid=MOBFKK9JA6YSQPPS&lid=LSTMOBFKK9JA6YSQPPSOVZXEQ&marketplace=FLIPKART&srno=s_1_20&otracker=search&fm=organic&iid=d030f16b-d98c-4c44-a562-9427154b35a4.MOBFKK9JA6YSQPPS.SEARCH&ssid=lf5hc3rhcg0000001587809535111&qH=ba2b1763f76b622e,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499","1,11,471 Ratings & 8,962 Reviews"
20,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-c3-frozen-blue-64-gb/p/itm58bf81a807d66?pid=MOBFZHC5QRBG2BSR&lid=LSTMOBFZHC5QRBG2BSRYU9DNF&marketplace=FLIPKART&srno=s_1_21&otracker=search&fm=organic&iid=d030f16b-d98c-4c44-a562-9427154b35a4.MOBFZHC5QRBG2BSR.SEARCH&ssid=lf5hc3rhcg0000001587809535111&qH=ba2b1763f76b622e,"Realme C3 (Frozen Blue, 64 GB)","₹8,499","34,003 Ratings & 3,318 Reviews"
21,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,HD+ Mini Drop Display,48 MP AI Quad camera,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-5s-crystal-blue-64-gb/p/itm592977b0ba210?pid=MOBFM2WZ9AZUPTTZ&lid=LSTMOBFM2WZ9AZUPTTZXXEDBC&marketplace=FLIPKART&srno=s_1_22&otracker=search&fm=organic&iid=d030f16b-d98c-4c44-a562-9427154b35a4.MOBFM2WZ9AZUPTTZ.SEARCH&ssid=lf5hc3rhcg0000001587809535111&qH=ba2b1763f76b622e,"Realme 5s (Crystal Blue, 64 GB)","₹10,999","2,23,399 Ratings & 20,601 Reviews"
22,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,HD+ Mini Drop Display,48 MP AI Quad camera,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-5s-crystal-purple-64-gb/p/itm592977b0ba210?pid=MOBFM2WZGMU7DPZQ&lid=LSTMOBFM2WZGMU7DPZQXTQHMR&marketplace=FLIPKART&srno=s_1_23&otracker=search&fm=organic&iid=d030f16b-d98c-4c44-a562-9427154b35a4.MOBFM2WZGMU7DPZQ.SEARCH&ssid=lf5hc3rhcg0000001587809535111&qH=ba2b1763f76b622e,"Realme 5s (Crystal Purple, 64 GB)","₹11,999","2,23,399 Ratings & 20,601 Reviews"
23,4.4,"4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,HD+ Mini Drop Display,48 MP AI Quad camera,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",/realme-5s-crystal-blue-128-gb/p/itm592977b0ba210?pid=MOBFM2WZW8VZEXK3&lid=LSTMOBFM2WZW8VZEXK39K1SNR&marketplace=FLIPKART&srno=s_1_24&otracker=search&fm=organic&iid=d030f16b-d98c-4c44-a562-9427154b35a4.MOBFM2WZW8VZEXK3.SEARCH&ssid=lf5hc3rhcg0000001587809535111&qH=ba2b1763f76b622e,"Realme 5s (Crystal Blue, 128 GB)","₹11,999","2,23,399 Ratings & 20,601 Reviews"
