,avgrating,features,link,name,price,rating
0,4.3,"2 GB RAM | 32 GB ROM |,15.9 cm (6.26 inch) Display,12MP Rear Camera,4000 mAh Battery,12 Months",http://www.flipkart.com/redmi-7-eclipse-black-32-gb/p/itmfgaz9w4ky2zyd?pid=MOBFGAXYRAREQ8XZ&lid=LSTMOBFGAXYRAREQ8XZI4IDME&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFGAXYRAREQ8XZ.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi 7 (Eclipse Black, 32 GB)","₹8,649","12,844 Ratings & 1,004 Reviews"
1,4.3,"2 GB RAM | 32 GB ROM |,15.9 cm (6.26 inch) Display,12MP Rear Camera,4000 mAh Battery,12 Months",http://www.flipkart.com/redmi-7-comet-blue-32-gb/p/itmfgaz9w4ky2zyd?pid=MOBFGD7NNHKYMCGV&lid=LSTMOBFGD7NNHKYMCGVUCUB9Z&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFGD7NNHKYMCGV.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi 7 (Comet Blue, 32 GB)","₹7,995","12,844 Ratings & 1,004 Reviews"
2,4.3,"2 GB RAM | 32 GB ROM |,15.9 cm (6.26 inch) Display,12MP Rear Camera,4000 mAh Battery,12 Months",http://www.flipkart.com/redmi-7-lunar-red-32-gb/p/itm57fac10326e0d?pid=MOBFGC2AJPUUKSNP&lid=LSTMOBFGC2AJPUUKSNPGLOS2Y&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFGC2AJPUUKSNP.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi 7 (Lunar Red, 32 GB)","₹7,999","12,844 Ratings & 1,004 Reviews"
3,4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories",http://www.flipkart.com/redmi-7-eclipse-black-32-gb/p/itmfhg4ezfgx2efg?pid=MOBFFXXBYGZCG2BW&lid=LSTMOBFFXXBYGZCG2BWEU3GMK&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFFXXBYGZCG2BW.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi 7 (Eclipse Black, 32 GB)","₹8,340","6,181 Ratings & 465 Reviews"
4,4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories",http://www.flipkart.com/redmi-7-comet-blue-32-gb/p/itmfhg4ezfgx2efg?pid=MOBFFXXBYUTZCVGU&lid=LSTMOBFFXXBYUTZCVGU3QK1HF&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFFXXBYUTZCVGU.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi 7 (Comet Blue, 32 GB)","₹8,290","6,181 Ratings & 465 Reviews"
5,4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories",http://www.flipkart.com/redmi-7-lunar-red-32-gb/p/itmfhg4ezfgx2efg?pid=MOBFFXXBJACTAQHZ&lid=LSTMOBFFXXBJACTAQHZEXL3KB&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFFXXBJACTAQHZ.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi 7 (Lunar Red, 32 GB)","₹7,500","6,181 Ratings & 465 Reviews"
6,4.5,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,Splash Proof - Protected by P2i,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",http://www.flipkart.com/redmi-note-7-pro-space-black-64-gb/p/itmfegkx2gufuzhp?pid=MOBFDXZ36Y4DJBGM&lid=LSTMOBFDXZ36Y4DJBGM2SHASI&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFDXZ36Y4DJBGM.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi Note 7 Pro (Space Black, 64 GB)","₹10,999","7,83,862 Ratings & 69,261 Reviews"
7,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,Splash Proof - Protected by P2i,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",http://www.flipkart.com/redmi-note-7s-sapphire-blue-64-gb/p/itmfh75f4rhcjdfk?pid=MOBFGGJ8CKGVHHZU&lid=LSTMOBFGGJ8CKGVHHZULJU9WG&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFGGJ8CKGVHHZU.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi Note 7S (Sapphire Blue, 64 GB)","₹11,999","3,89,263 Ratings & 32,765 Reviews"
8,4.5,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,Splash Proof - Protected by P2i,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",http://www.flipkart.com/redmi-note-7-pro-space-black-64-gb/p/itmfhvuexbzu6fjd?pid=MOBFHUQ4ZPZX89G6&lid=LSTMOBFHUQ4ZPZX89G6KSIIC2&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFHUQ4ZPZX89G6.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi Note 7 Pro (Space Black, 64 GB)","₹12,999","2,54,609 Ratings & 21,652 Reviews"
9,4.3,"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 2 Years Available for Mobile and 6 Months for Accessories",http://www.flipkart.com/redmi-7a-matte-gold-32-gb/p/itmfhz4cfwesj6qh?pid=MOBFHZ4BYCMVJHVU&lid=LSTMOBFHZ4BYCMVJHVULENQ96&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFHZ4BYCMVJHVU.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi 7A (Matte Gold, 32 GB)","₹6,699","3,51,034 Ratings & 26,628 Reviews"
10,4.5,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",http://www.flipkart.com/redmi-note-7-pro-astro-moonlight-white-64-gb/p/itm4f1fcde5bd7a3?pid=MOBFJFZDVPAKHXSD&lid=LSTMOBFJFZDVPAKHXSDTRD6VJ&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFJFZDVPAKHXSD.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)","₹12,999","2,54,609 Ratings & 21,652 Reviews"
11,4.5,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,Splash Proof - Protected by P2i,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",http://www.flipkart.com/redmi-note-7-pro-neptune-blue-64-gb/p/itmfegkx8nbcze6t?pid=MOBFDXZ376XRTZXH&lid=LSTMOBFDXZ376XRTZXHWRK63O&marketplace=FLIPKART&srno=s_1_12&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFDXZ376XRTZXH.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹10,999","7,83,862 Ratings & 69,261 Reviews"
12,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",http://www.flipkart.com/redmi-8-onyx-black-64-gb/p/itm74a5b975b3bdf?pid=MOBFKPYDZJQHGJXA&lid=LSTMOBFKPYDZJQHGJXA5X8Q5G&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFKPYDZJQHGJXA.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi 8 (Onyx Black, 64 GB)","₹8,999","4,62,371 Ratings & 38,577 Reviews"
13,4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,Splash Proof - Protected by P2i,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",http://www.flipkart.com/redmi-note-7s-onyx-black-32-gb/p/itmfgpbaq3wyvgwq?pid=MOBFGGJ8VUGCYUTU&lid=LSTMOBFGGJ8VUGCYUTU27S5MD&marketplace=FLIPKART&srno=s_1_14&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFGGJ8VUGCYUTU.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi Note 7S (Onyx Black, 32 GB)","₹9,999","2,89,708 Ratings & 26,842 Reviews"
14,4.5,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",http://www.flipkart.com/redmi-note-7-pro-astro-moonlight-white-128-gb/p/itm178c61a8738f0?pid=MOBFJFZDF6EZQRHH&lid=LSTMOBFJFZDF6EZQRHHIQJHBR&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFJFZDF6EZQRHH.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)","₹13,999","2,54,609 Ratings & 21,652 Reviews"
15,4.5,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,Splash Proof - Protected by P2i,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",http://www.flipkart.com/redmi-note-7-pro-neptune-blue-128-gb/p/itmffdudreuhph5y?pid=MOBFDXZ3Z8WBPDWK&lid=LSTMOBFDXZ3Z8WBPDWK5GPOXF&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFDXZ3Z8WBPDWK.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi Note 7 Pro (Neptune Blue, 128 GB)","₹13,999","2,54,609 Ratings & 21,652 Reviews"
16,4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,Splash Proof - Protected by P2i,Quick Charge 4.0 Support,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",http://www.flipkart.com/redmi-note-7s-onyx-black-64-gb/p/itmfh75fh2ggjgag?pid=MOBFGGJ8AUXSTH6D&lid=LSTMOBFGGJ8AUXSTH6DUXD9PW&marketplace=FLIPKART&srno=s_1_17&otracker=search&fm=organic&iid=1753df99-4782-4c58-bd64-46ee173ee6c7.MOBFGGJ8AUXSTH6D.SEARCH&ssid=d9498dkaj40000001587947287310&qH=5cb5641741c40f15,"Redmi Note 7S (Onyx Black, 64 GB)","₹11,999","3,89,263 Ratings & 32,765 Reviews"
